SCORES_TXT_BEGIN_0 0 100 9 BLEU
10 10 9 9 8 8 7 7 10 
8 8 6 7 4 6 2 5 10 
10 12 9 11 8 10 6 9 10 
9 10 7 9 5 8 4 7 10 
9 9 7 8 5 7 3 6 10 
7 8 4 7 2 6 1 5 10 
10 11 9 10 7 9 5 8 10 
9 9 7 8 5 7 3 6 10 
6 8 4 7 2 6 1 5 10 
8 9 5 8 3 7 1 6 10 
10 11 9 10 7 9 5 8 10 
10 11 9 10 8 9 7 8 10 
10 11 9 10 8 9 7 8 10 
7 8 5 7 3 6 1 5 10 
8 13 7 12 6 11 5 10 10 
8 9 6 8 4 7 2 6 10 
9 10 7 9 5 8 3 7 10 
10 11 8 10 6 9 4 8 10 
8 9 5 8 3 7 2 6 10 
8 9 6 8 4 7 2 6 10 
8 9 6 8 4 7 2 6 10 
7 9 4 8 2 7 1 6 10 
7 9 4 8 2 7 1 6 10 
8 9 6 8 4 7 2 6 10 
9 10 7 9 5 8 3 7 10 
8 9 5 8 3 7 1 6 10 
7 8 5 7 3 6 1 5 10 
7 10 4 9 2 8 1 7 10 
8 10 6 9 4 8 3 7 10 
6 8 4 7 2 6 1 5 10 
10 11 8 10 6 9 5 8 10 
6 11 4 10 2 9 1 8 10 
8 10 6 9 4 8 3 7 10 
5 6 3 5 2 4 1 3 10 
7 10 5 9 4 8 3 7 10 
7 8 4 7 2 6 1 5 10 
10 13 8 12 6 11 4 10 10 
9 9 6 8 2 7 1 6 10 
8 11 6 10 4 9 2 8 10 
9 11 8 10 7 9 6 8 10 
9 10 7 9 5 8 4 7 10 
10 12 8 11 6 10 5 9 10 
9 10 8 9 7 8 6 7 10 
7 9 4 8 2 7 1 6 10 
7 8 4 7 2 6 1 5 10 
9 10 8 9 7 8 6 7 10 
6 8 3 7 1 6 0 5 10 
10 11 9 10 8 9 7 8 10 
8 9 6 8 4 7 2 6 10 
10 11 8 10 6 9 5 8 10 
7 8 4 7 2 6 1 5 10 
8 9 6 8 4 7 2 6 10 
9 10 8 9 7 8 6 7 10 
8 9 6 8 4 7 2 6 10 
10 10 7 9 3 8 1 7 10 
9 11 8 10 7 9 6 8 10 
7 9 5 8 3 7 2 6 10 
9 10 7 9 6 8 5 7 10 
9 10 7 9 6 8 5 7 10 
9 10 7 9 5 8 3 7 10 
7 8 5 7 3 6 1 5 10 
6 9 3 8 1 7 0 6 10 
9 13 7 12 6 11 5 10 10 
7 9 4 8 2 7 1 6 10 
5 8 3 7 2 6 1 5 10 
7 9 4 8 2 7 1 6 10 
10 11 9 10 7 9 5 8 10 
8 10 4 9 2 8 1 7 10 
7 10 5 9 4 8 3 7 10 
10 11 8 10 7 9 6 8 10 
10 12 8 11 6 10 5 9 10 
5 8 3 7 2 6 1 5 10 
9 10 7 9 6 8 5 7 10 
6 8 4 7 2 6 1 5 10 
8 9 5 8 3 7 1 6 10 
10 12 8 11 6 10 4 9 10 
9 11 7 10 5 9 3 8 10 
9 10 7 9 6 8 5 7 10 
7 8 4 7 2 6 1 5 10 
9 10 8 9 7 8 6 7 10 
9 10 8 9 7 8 6 7 10 
7 8 5 7 3 6 1 5 10 
8 8 4 7 2 6 1 5 10 
7 8 4 7 2 6 1 5 10 
9 10 7 9 5 8 3 7 10 
4 6 1 5 0 4 0 3 10 
8 9 5 8 2 7 1 6 10 
6 8 2 7 0 6 0 5 10 
8 9 5 8 2 7 1 6 10 
6 8 4 7 2 6 0 5 10 
10 11 8 10 7 9 6 8 10 
7 9 5 8 3 7 1 6 10 
10 12 8 11 6 10 5 9 10 
9 10 7 9 5 8 4 7 10 
5 8 3 7 1 6 0 5 10 
9 10 7 9 6 8 5 7 10 
